time,lat,lon,ph_total
2021-01-15,-65.5,175.5,8.096854
2021-01-15,-65.5,176.5,8.097604
2021-01-15,-65.5,177.5,8.104753
2021-01-15,-65.5,178.5,8.114992
2021-01-15,-65.5,179.5,8.114992
2021-01-15,-64.5,100.5,8.183011
2021-01-15,-64.5,101.5,8.190785
2021-01-15,-64.5,102.5,8.170184
2021-01-15,-64.5,103.5,8.172895
2021-01-15,-64.5,104.5,8.18574
2021-01-15,-64.5,105.5,8.173448
2021-01-15,-64.5,106.5,8.168734
2021-01-15,-64.5,107.5,8.163925
2021-01-15,-64.5,108.5,8.158913
2021-01-15,-64.5,109.5,8.160718
2021-01-15,-64.5,110.5,8.169228
2021-01-15,-64.5,111.5,8.182365
2021-01-15,-64.5,112.5,8.175417
2021-01-15,-64.5,113.5,8.177741
2021-01-15,-64.5,114.5,8.156153
2021-01-15,-64.5,115.5,8.127077
2021-01-15,-64.5,116.5,8.117197
2021-01-15,-64.5,117.5,8.110339
2021-01-15,-64.5,118.5,8.121135
2021-01-15,-64.5,119.5,8.124659
2021-01-15,-64.5,120.5,8.126333
2021-01-15,-64.5,121.5,8.12164
2021-01-15,-64.5,122.5,8.122702
2021-01-15,-64.5,123.5,8.133034
2021-01-15,-64.5,124.5,8.144912
2021-01-15,-64.5,125.5,8.137044
2021-01-15,-64.5,126.5,8.133534
2021-01-15,-64.5,127.5,8.148278
2021-01-15,-64.5,128.5,8.149431
2021-01-15,-64.5,129.5,8.1414995
2021-01-15,-64.5,130.5,8.131414
2021-01-15,-64.5,131.5,8.130277
2021-01-15,-64.5,132.5,8.131166
2021-01-15,-64.5,133.5,8.121032
2021-01-15,-64.5,134.5,8.116421
2021-01-15,-64.5,135.5,8.116303
2021-01-15,-64.5,136.5,8.113067
2021-01-15,-64.5,137.5,8.108955
2021-01-15,-64.5,138.5,8.103095
2021-01-15,-64.5,139.5,8.102703
2021-01-15,-64.5,140.5,8.104036
2021-01-15,-64.5,141.5,8.102306
2021-01-15,-64.5,142.5,8.102764
2021-01-15,-64.5,143.5,8.101698
2021-01-15,-64.5,144.5,8.099219
2021-01-15,-64.5,145.5,8.101705
2021-01-15,-64.5,146.5,8.104467
2021-01-15,-64.5,147.5,8.100005
2021-01-15,-64.5,148.5,8.100049
2021-01-15,-64.5,149.5,8.101857
2021-01-15,-64.5,150.5,8.101735
2021-01-15,-64.5,151.5,8.104413
2021-01-15,-64.5,152.5,8.106965
2021-01-15,-64.5,153.5,8.111397
2021-01-15,-64.5,154.5,8.112418
2021-01-15,-64.5,155.5,8.106908
2021-01-15,-64.5,156.5,8.10571
2021-01-15,-64.5,157.5,8.108177
2021-01-15,-64.5,158.5,8.111616
2021-01-15,-64.5,159.5,8.109637
2021-01-15,-64.5,160.5,8.110281
2021-01-15,-64.5,161.5,8.123808
2021-01-15,-64.5,162.5,8.137836
2021-01-15,-64.5,163.5,8.129715
2021-01-15,-64.5,164.5,8.139069
2021-01-15,-64.5,165.5,8.135012
2021-01-15,-64.5,166.5,8.125687
2021-01-15,-64.5,167.5,8.126079
2021-01-15,-64.5,168.5,8.120629
2021-01-15,-64.5,169.5,8.114197
2021-01-15,-64.5,170.5,8.112261
2021-01-15,-64.5,171.5,8.113511
2021-01-15,-64.5,172.5,8.108664
2021-01-15,-64.5,173.5,8.099162
2021-01-15,-64.5,174.5,8.098459
2021-01-15,-64.5,175.5,8.109149
2021-01-15,-64.5,176.5,8.1179085
2021-01-15,-64.5,177.5,8.121905
2021-01-15,-64.5,178.5,8.119266
2021-01-15,-64.5,179.5,8.119266
2021-01-15,-63.5,100.5,8.118339
2021-01-15,-63.5,101.5,8.126058
2021-01-15,-63.5,102.5,8.127592
2021-01-15,-63.5,103.5,8.121335
2021-01-15,-63.5,104.5,8.125982
2021-01-15,-63.5,105.5,8.14048
2021-01-15,-63.5,106.5,8.153244
2021-01-15,-63.5,107.5,8.148101
2021-01-15,-63.5,108.5,8.126751
2021-01-15,-63.5,109.5,8.118033
2021-01-15,-63.5,110.5,8.116381
2021-01-15,-63.5,111.5,8.1246395
2021-01-15,-63.5,112.5,8.128409
2021-01-15,-63.5,113.5,8.12737
2021-01-15,-63.5,114.5,8.12519
2021-01-15,-63.5,115.5,8.110101
2021-01-15,-63.5,116.5,8.111276
2021-01-15,-63.5,117.5,8.111339
2021-01-15,-63.5,118.5,8.105104
2021-01-15,-63.5,119.5,8.099733
2021-01-15,-63.5,120.5,8.095091
2021-01-15,-63.5,121.5,8.094947
2021-01-15,-63.5,122.5,8.09543
2021-01-15,-63.5,123.5,8.096162
2021-01-15,-63.5,124.5,8.0955
2021-01-15,-63.5,125.5,8.096841
2021-01-15,-63.5,126.5,8.100445
2021-01-15,-63.5,127.5,8.098995
2021-01-15,-63.5,128.5,8.100166
2021-01-15,-63.5,129.5,8.102557
2021-01-15,-63.5,130.5,8.098129
2021-01-15,-63.5,131.5,8.097881
2021-01-15,-63.5,132.5,8.094468
2021-01-15,-63.5,133.5,8.096935
2021-01-15,-63.5,134.5,8.09669
2021-01-15,-63.5,135.5,8.098825
2021-01-15,-63.5,136.5,8.102131
2021-01-15,-63.5,137.5,8.099696
2021-01-15,-63.5,138.5,8.09927
2021-01-15,-63.5,139.5,8.0995245
2021-01-15,-63.5,140.5,8.101459
2021-01-15,-63.5,141.5,8.096738
2021-01-15,-63.5,142.5,8.099762
2021-01-15,-63.5,143.5,8.096404
2021-01-15,-63.5,144.5,8.099227
2021-01-15,-63.5,145.5,8.101112
2021-01-15,-63.5,146.5,8.096968
2021-01-15,-63.5,147.5,8.094676
2021-01-15,-63.5,148.5,8.096635
2021-01-15,-63.5,149.5,8.097173
2021-01-15,-63.5,150.5,8.099466
2021-01-15,-63.5,151.5,8.103144
2021-01-15,-63.5,152.5,8.105356
2021-01-15,-63.5,153.5,8.1061325
2021-01-15,-63.5,154.5,8.117422
2021-01-15,-63.5,155.5,8.113635
2021-01-15,-63.5,156.5,8.114166
2021-01-15,-63.5,157.5,8.114936
2021-01-15,-63.5,158.5,8.116677
2021-01-15,-63.5,159.5,8.12172
2021-01-15,-63.5,160.5,8.1274185
2021-01-15,-63.5,161.5,8.126469
2021-01-15,-63.5,162.5,8.137896
2021-01-15,-63.5,163.5,8.140323
2021-01-15,-63.5,164.5,8.133606
2021-01-15,-63.5,165.5,8.128853
2021-01-15,-63.5,166.5,8.127898
2021-01-15,-63.5,167.5,8.1277895
2021-01-15,-63.5,168.5,8.1254015
2021-01-15,-63.5,169.5,8.126356
2021-01-15,-63.5,170.5,8.120408
2021-01-15,-63.5,171.5,8.117415
2021-01-15,-63.5,172.5,8.113105
2021-01-15,-63.5,173.5,8.107181
2021-01-15,-63.5,174.5,8.108496
2021-01-15,-63.5,175.5,8.103551
2021-01-15,-63.5,176.5,8.09731
2021-01-15,-63.5,177.5,8.096107
2021-01-15,-63.5,178.5,8.09757
2021-01-15,-63.5,179.5,8.09757
2021-01-15,-62.5,100.5,8.119225
2021-01-15,-62.5,101.5,8.114374
2021-01-15,-62.5,102.5,8.1084585
2021-01-15,-62.5,103.5,8.106013
2021-01-15,-62.5,104.5,8.103862
2021-01-15,-62.5,105.5,8.10354
2021-01-15,-62.5,106.5,8.110543
2021-01-15,-62.5,107.5,8.108219
2021-01-15,-62.5,108.5,8.104065
2021-01-15,-62.5,109.5,8.101563
2021-01-15,-62.5,110.5,8.103828
2021-01-15,-62.5,111.5,8.100908
2021-01-15,-62.5,112.5,8.099223
2021-01-15,-62.5,113.5,8.096917
2021-01-15,-62.5,114.5,8.096053
2021-01-15,-62.5,115.5,8.094585
2021-01-15,-62.5,116.5,8.0923395
2021-01-15,-62.5,117.5,8.088311
2021-01-15,-62.5,118.5,8.090402
2021-01-15,-62.5,119.5,8.090107
2021-01-15,-62.5,120.5,8.087085
2021-01-15,-62.5,121.5,8.092828
2021-01-15,-62.5,122.5,8.088261
2021-01-15,-62.5,123.5,8.086303
2021-01-15,-62.5,124.5,8.085699
2021-01-15,-62.5,125.5,8.089981
2021-01-15,-62.5,126.5,8.090993
2021-01-15,-62.5,127.5,8.089868
2021-01-15,-62.5,128.5,8.085272
2021-01-15,-62.5,129.5,8.082292
2021-01-15,-62.5,130.5,8.083898
2021-01-15,-62.5,131.5,8.084177
2021-01-15,-62.5,132.5,8.082699
2021-01-15,-62.5,133.5,8.082729
2021-01-15,-62.5,134.5,8.088629
2021-01-15,-62.5,135.5,8.092435
2021-01-15,-62.5,136.5,8.097914
2021-01-15,-62.5,137.5,8.102557
2021-01-15,-62.5,138.5,8.101604
2021-01-15,-62.5,139.5,8.101419
2021-01-15,-62.5,140.5,8.098658
2021-01-15,-62.5,141.5,8.096997
2021-01-15,-62.5,142.5,8.09182
2021-01-15,-62.5,143.5,8.094101
2021-01-15,-62.5,144.5,8.0940275
2021-01-15,-62.5,145.5,8.094115
2021-01-15,-62.5,146.5,8.093895
2021-01-15,-62.5,147.5,8.093199
2021-01-15,-62.5,148.5,8.092878
2021-01-15,-62.5,149.5,8.090375
2021-01-15,-62.5,150.5,8.091702
2021-01-15,-62.5,151.5,8.099835
2021-01-15,-62.5,152.5,8.102921
2021-01-15,-62.5,153.5,8.110315
2021-01-15,-62.5,154.5,8.119577
2021-01-15,-62.5,155.5,8.12185
2021-01-15,-62.5,156.5,8.124475
2021-01-15,-62.5,157.5,8.115598
2021-01-15,-62.5,158.5,8.118863
2021-01-15,-62.5,159.5,8.1283865
2021-01-15,-62.5,160.5,8.138721
2021-01-15,-62.5,161.5,8.134244
2021-01-15,-62.5,162.5,8.135254
2021-01-15,-62.5,163.5,8.130607
2021-01-15,-62.5,164.5,8.12742
2021-01-15,-62.5,165.5,8.1284485
2021-01-15,-62.5,166.5,8.121273
2021-01-15,-62.5,167.5,8.115454
2021-01-15,-62.5,168.5,8.10805
2021-01-15,-62.5,169.5,8.109253
2021-01-15,-62.5,170.5,8.10762
2021-01-15,-62.5,171.5,8.095868
2021-01-15,-62.5,172.5,8.094492
2021-01-15,-62.5,173.5,8.085041
2021-01-15,-62.5,174.5,8.078985
2021-01-15,-62.5,175.5,8.081847
2021-01-15,-62.5,176.5,8.086124
2021-01-15,-62.5,177.5,8.08571
2021-01-15,-62.5,178.5,8.085065
2021-01-15,-62.5,179.5,8.085065
2021-01-15,-61.5,100.5,8.113296
2021-01-15,-61.5,101.5,8.110523
2021-01-15,-61.5,102.5,8.105261
2021-01-15,-61.5,103.5,8.100187
2021-01-15,-61.5,104.5,8.097074
2021-01-15,-61.5,105.5,8.100244
2021-01-15,-61.5,106.5,8.0976715
2021-01-15,-61.5,107.5,8.09592
2021-01-15,-61.5,108.5,8.096073
2021-01-15,-61.5,109.5,8.093489
2021-01-15,-61.5,110.5,8.0955105
2021-01-15,-61.5,111.5,8.095904
2021-01-15,-61.5,112.5,8.093541
2021-01-15,-61.5,113.5,8.091628
2021-01-15,-61.5,114.5,8.085072
2021-01-15,-61.5,115.5,8.090099
2021-01-15,-61.5,116.5,8.086632
2021-01-15,-61.5,117.5,8.085753
2021-01-15,-61.5,118.5,8.087442
2021-01-15,-61.5,119.5,8.088215
2021-01-15,-61.5,120.5,8.089521
2021-01-15,-61.5,121.5,8.089657
2021-01-15,-61.5,122.5,8.088106
2021-01-15,-61.5,123.5,8.086389
2021-01-15,-61.5,124.5,8.08515
2021-01-15,-61.5,125.5,8.085557
2021-01-15,-61.5,126.5,8.0811405
2021-01-15,-61.5,127.5,8.080917
2021-01-15,-61.5,128.5,8.078685
2021-01-15,-61.5,129.5,8.077936
2021-01-15,-61.5,130.5,8.0776205
2021-01-15,-61.5,131.5,8.0786495
2021-01-15,-61.5,132.5,8.077931
2021-01-15,-61.5,133.5,8.077359
2021-01-15,-61.5,134.5,8.076584
2021-01-15,-61.5,135.5,8.077679
2021-01-15,-61.5,136.5,8.081337
2021-01-15,-61.5,137.5,8.085986
2021-01-15,-61.5,138.5,8.082388
2021-01-15,-61.5,139.5,8.083541
2021-01-15,-61.5,140.5,8.082268
2021-01-15,-61.5,141.5,8.081664
2021-01-15,-61.5,142.5,8.084328
2021-01-15,-61.5,143.5,8.079641
2021-01-15,-61.5,144.5,8.080409
2021-01-15,-61.5,145.5,8.080785
2021-01-15,-61.5,146.5,8.084539
2021-01-15,-61.5,147.5,8.08525
2021-01-15,-61.5,148.5,8.082964
2021-01-15,-61.5,149.5,8.085096
2021-01-15,-61.5,150.5,8.08954
2021-01-15,-61.5,151.5,8.09451
2021-01-15,-61.5,152.5,8.098567
2021-01-15,-61.5,153.5,8.106303
2021-01-15,-61.5,154.5,8.105811
2021-01-15,-61.5,155.5,8.099412
2021-01-15,-61.5,156.5,8.104832
2021-01-15,-61.5,157.5,8.09745
2021-01-15,-61.5,158.5,8.103516
2021-01-15,-61.5,159.5,8.106255
2021-01-15,-61.5,160.5,8.11559
2021-01-15,-61.5,161.5,8.117089
2021-01-15,-61.5,162.5,8.099763
2021-01-15,-61.5,163.5,8.092614
2021-01-15,-61.5,164.5,8.092886
2021-01-15,-61.5,165.5,8.092372
2021-01-15,-61.5,166.5,8.088401
2021-01-15,-61.5,167.5,8.084308
2021-01-15,-61.5,168.5,8.082132
2021-01-15,-61.5,169.5,8.078437
2021-01-15,-61.5,170.5,8.074914
2021-01-15,-61.5,171.5,8.073399
2021-01-15,-61.5,172.5,8.073018
2021-01-15,-61.5,173.5,8.07286
2021-01-15,-61.5,174.5,8.072947
2021-01-15,-61.5,175.5,8.076077
2021-01-15,-61.5,176.5,8.081502
2021-01-15,-61.5,177.5,8.079937
2021-01-15,-61.5,178.5,8.082888
2021-01-15,-61.5,179.5,8.082888
2021-01-15,-60.5,100.5,8.104476
2021-01-15,-60.5,101.5,8.101122
2021-01-15,-60.5,102.5,8.099489
2021-01-15,-60.5,103.5,8.095709
2021-01-15,-60.5,104.5,8.092019
2021-01-15,-60.5,105.5,8.092812
2021-01-15,-60.5,106.5,8.092955
2021-01-15,-60.5,107.5,8.091847
2021-01-15,-60.5,108.5,8.091858
2021-01-15,-60.5,109.5,8.092179
2021-01-15,-60.5,110.5,8.089748
2021-01-15,-60.5,111.5,8.090882
2021-01-15,-60.5,112.5,8.089871
2021-01-15,-60.5,113.5,8.085957
2021-01-15,-60.5,114.5,8.079751
2021-01-15,-60.5,115.5,8.081521
2021-01-15,-60.5,116.5,8.08027
2021-01-15,-60.5,117.5,8.081924
2021-01-15,-60.5,118.5,8.082503
2021-01-15,-60.5,119.5,8.082821
2021-01-15,-60.5,120.5,8.081622
2021-01-15,-60.5,121.5,8.082322
2021-01-15,-60.5,122.5,8.080953
2021-01-15,-60.5,123.5,8.078876
2021-01-15,-60.5,124.5,8.077478
2021-01-15,-60.5,125.5,8.077295
2021-01-15,-60.5,126.5,8.075886
2021-01-15,-60.5,127.5,8.075841
2021-01-15,-60.5,128.5,8.074438
2021-01-15,-60.5,129.5,8.073443
2021-01-15,-60.5,130.5,8.073237
2021-01-15,-60.5,131.5,8.074453
2021-01-15,-60.5,132.5,8.074436
2021-01-15,-60.5,133.5,8.0744095
2021-01-15,-60.5,134.5,8.074698
2021-01-15,-60.5,135.5,8.074831
2021-01-15,-60.5,136.5,8.075157
2021-01-15,-60.5,137.5,8.076441
2021-01-15,-60.5,138.5,8.07502
2021-01-15,-60.5,139.5,8.076012
2021-01-15,-60.5,140.5,8.076653
2021-01-15,-60.5,141.5,8.078379
2021-01-15,-60.5,142.5,8.07614
2021-01-15,-60.5,143.5,8.077031
2021-01-15,-60.5,144.5,8.0785675
2021-01-15,-60.5,145.5,8.07897
2021-01-15,-60.5,146.5,8.078773
2021-01-15,-60.5,147.5,8.079127
2021-01-15,-60.5,148.5,8.080189
2021-01-15,-60.5,149.5,8.085398
2021-01-15,-60.5,150.5,8.091092
2021-01-15,-60.5,151.5,8.092431
2021-01-15,-60.5,152.5,8.094037
2021-01-15,-60.5,153.5,8.09234
2021-01-15,-60.5,154.5,8.086881
2021-01-15,-60.5,155.5,8.084606
2021-01-15,-60.5,156.5,8.085984
2021-01-15,-60.5,157.5,8.087143
2021-01-15,-60.5,158.5,8.0896635
2021-01-15,-60.5,159.5,8.087495
2021-01-15,-60.5,160.5,8.08584
2021-01-15,-60.5,161.5,8.084202
2021-01-15,-60.5,162.5,8.08034
2021-01-15,-60.5,163.5,8.081272
2021-01-15,-60.5,164.5,8.080712
2021-01-15,-60.5,165.5,8.0787945
2021-01-15,-60.5,166.5,8.077425
2021-01-15,-60.5,167.5,8.0753145
2021-01-15,-60.5,168.5,8.07303
2021-01-15,-60.5,169.5,8.073763
2021-01-15,-60.5,170.5,8.072749
2021-01-15,-60.5,171.5,8.069935
2021-01-15,-60.5,172.5,8.07118
2021-01-15,-60.5,173.5,8.071503
2021-01-15,-60.5,174.5,8.071347
2021-01-15,-60.5,175.5,8.072628
2021-01-15,-60.5,176.5,8.074586
2021-01-15,-60.5,177.5,8.073903
2021-01-15,-60.5,178.5,8.075085
2021-01-15,-60.5,179.5,8.075085
2021-01-15,-59.5,100.5,8.091655
2021-01-15,-59.5,101.5,8.089401
2021-01-15,-59.5,102.5,8.0889015
2021-01-15,-59.5,103.5,8.087599
2021-01-15,-59.5,104.5,8.08479
2021-01-15,-59.5,105.5,8.087006
2021-01-15,-59.5,106.5,8.085551
2021-01-15,-59.5,107.5,8.084862
2021-01-15,-59.5,108.5,8.085199
2021-01-15,-59.5,109.5,8.083263
2021-01-15,-59.5,110.5,8.080262
2021-01-15,-59.5,111.5,8.081724
2021-01-15,-59.5,112.5,8.081545
2021-01-15,-59.5,113.5,8.078478
2021-01-15,-59.5,114.5,8.074946
2021-01-15,-59.5,115.5,8.074047
