Latitude,Longitude,Season,sst
-42.0,120.0,Spring,11.065002086666667
-42.0,120.0,Summer,13.615629401794871
-42.0,120.0,Winter,11.148353512820513
-42.0,122.0,Autumn,13.376430288461536
-42.0,122.0,Spring,11.067888218974359
-42.0,122.0,Summer,13.650953450769231
-42.0,122.0,Winter,11.14189346153846
-42.0,124.0,Autumn,13.465995782051282
-42.0,124.0,Spring,11.083882853333334
-42.0,124.0,Summer,13.685808346153847
-42.0,124.0,Winter,11.189584141025641
-42.0,126.0,Autumn,13.548484717948718
-42.0,126.0,Spring,11.121837527692307
-42.0,126.0,Summer,13.75627251974359
-42.0,126.0,Winter,11.244952846153845
-42.0,128.0,Autumn,13.617229301282052
-42.0,128.0,Spring,11.178096372307692
-42.0,128.0,Summer,13.852004023846154
-42.0,128.0,Winter,11.30271733974359
-42.0,130.0,Autumn,13.692396461538463
-42.0,130.0,Spring,11.241574443846154
-42.0,130.0,Summer,13.950084966923077
-42.0,130.0,Winter,11.381531237179487
-42.0,132.0,Autumn,13.799156762820514
-42.0,132.0,Spring,11.32511147974359
-42.0,132.0,Summer,14.06579805051282
-42.0,132.0,Winter,11.48357312179487
-42.0,134.0,Autumn,13.955112179487179
-42.0,134.0,Spring,11.458055359487181
-42.0,134.0,Summer,14.246590720256412
-42.0,134.0,Winter,11.588894782051282
-42.0,136.0,Autumn,14.143346589743588
-42.0,136.0,Spring,11.657190687179487
-42.0,136.0,Summer,14.500404847179489
-42.0,136.0,Winter,11.709485346153846
-42.0,138.0,Autumn,14.360600596153846
-42.0,138.0,Spring,11.946070738205128
-42.0,138.0,Summer,14.783927555641023
-42.0,138.0,Winter,11.940924256410256
-42.0,140.0,Autumn,14.636378602564102
-42.0,140.0,Spring,12.274942398717949
-42.0,140.0,Summer,15.061725528974359
-42.0,140.0,Winter,12.316267807692308
-42.0,142.0,Autumn,15.01871333974359
-42.0,142.0,Spring,12.572527727692309
-42.0,142.0,Summer,15.393524404871796
-42.0,142.0,Winter,12.71780621794872
-42.0,144.0,Autumn,15.414700096153846
-42.0,144.0,Spring,12.791753711794874
-42.0,144.0,Summer,15.763310795384617
-42.0,144.0,Winter,12.957545852564103
-42.0,146.0,Autumn,15.790787320512822
-42.0,146.0,Spring,13.00576978
-42.0,146.0,Summer,16.15166765
-42.0,146.0,Winter,13.099407923076924
-42.0,150.0,Autumn,17.073350711538463
-42.0,150.0,Spring,13.98212423769231
-42.0,150.0,Summer,17.351917475384614
-42.0,150.0,Winter,14.054971583333332
-42.0,152.0,Autumn,17.00643239102564
-42.0,152.0,Spring,13.966170641025641
-42.0,152.0,Summer,17.279517564102566
-42.0,152.0,Winter,14.098725621794872
-42.0,154.0,Autumn,16.7553515
-42.0,154.0,Spring,13.805547821282053
-42.0,154.0,Summer,17.07585756051282
-42.0,154.0,Winter,13.931616576923076
-42.0,156.0,Autumn,16.533602692307692
-42.0,156.0,Spring,13.68736638692308
-42.0,156.0,Summer,16.91788678205128
-42.0,156.0,Winter,13.729759865384615
-42.0,158.0,Autumn,16.39574146153846
-42.0,158.0,Spring,13.610752465641026
-42.0,158.0,Summer,16.798501486153846
-42.0,158.0,Winter,13.604416666666667
-42.0,160.0,Autumn,16.276096166666665
-42.0,160.0,Spring,13.503244434358974
-42.0,160.0,Summer,16.665309725128207
-42.0,160.0,Winter,13.516338
-40.0,110.0,Autumn,14.71911312820513
-40.0,110.0,Spring,12.032789414358973
