year,season,lat,sst
2009,Autumn,-20.0,27.446912242424244
2009,Autumn,-10.0,29.133745948717948
2009,Spring,-40.0,13.429733307692308
2009,Spring,-30.0,20.657637285714287
2009,Spring,-20.0,25.09068684848485
2009,Spring,-10.0,28.166871205128206
2009,Summer,-40.0,16.31803817948718
2009,Summer,-30.0,23.72111047619048
2009,Summer,-20.0,27.67484078787879
2009,Summer,-10.0,29.331159692307693
2009,Winter,-40.0,13.525896115384617
2009,Winter,-30.0,20.233676666666668
2009,Winter,-20.0,24.459388333333333
2009,Winter,-10.0,27.513269038461534
2010,Autumn,-40.0,16.571864884615383
2010,Autumn,-30.0,23.409981238095238
2010,Autumn,-20.0,27.606845151515156
2010,Autumn,-10.0,29.479540512820517
2010,Spring,-40.0,13.28645117948718
2010,Spring,-30.0,20.898803476190476
2010,Spring,-20.0,25.59072796969697
2010,Spring,-10.0,28.88019667948718
2010,Summer,-40.0,16.66403066025641
2010,Summer,-30.0,23.764669285714287
2010,Summer,-20.0,27.803848969696972
2010,Summer,-10.0,29.600068102564105
2010,Winter,-40.0,13.585223185897435
2010,Winter,-30.0,20.559652380952382
2010,Winter,-20.0,24.71496993939394
2010,Winter,-10.0,27.730051205128206
2011,Autumn,-40.0,16.213498634615384
2011,Autumn,-30.0,24.132956571428576
2011,Autumn,-20.0,27.559146848484847
2011,Autumn,-10.0,28.71005928205128
2011,Spring,-40.0,13.547543993589743
2011,Spring,-30.0,20.655682142857145
2011,Spring,-20.0,25.006193272727273
2011,Spring,-10.0,27.956021487179484
2011,Summer,-40.0,16.501830942307695
2011,Summer,-30.0,24.156638809523812
2011,Summer,-20.0,28.139696484848486
2011,Summer,-10.0,29.31186191025641
2011,Winter,-40.0,13.436349416666667
2011,Winter,-30.0,20.77135961904762
2011,Winter,-20.0,24.332256939393933
2011,Winter,-10.0,26.75595403846154
2012,Autumn,-40.0,16.401413826923076
2012,Autumn,-30.0,23.411750714285716
2012,Autumn,-20.0,27.393739515151513
2012,Autumn,-10.0,28.922044
2012,Spring,-40.0,13.285070448717947
2012,Spring,-30.0,20.33871976190476
2012,Spring,-20.0,24.946455696969696
2012,Spring,-10.0,28.01606707692308
2012,Summer,-40.0,16.696590243589743
2012,Summer,-30.0,23.508778857142858
2012,Summer,-20.0,27.81660596969697
2012,Summer,-10.0,29.519418435897435
2012,Winter,-40.0,13.447028987179488
2012,Winter,-30.0,20.66696980952381
2012,Winter,-20.0,24.06489257575758
2012,Winter,-10.0,26.744127512820512
2013,Autumn,-40.0,16.75852835897436
2013,Autumn,-30.0,23.490873238095237
